
在位置 7392 发现不同:  文件1: 75.4862 文件2: 61.3352
在位置 7393 发现不同:  文件1: 14.1488 文件2: 14.8833
在位置 7394 发现不同:  文件1: 32.3763 文件2: 73.8173
在位置 7395 发现不同:  文件1: 27.7918 文件2: 29.6865
在位置 7476 发现不同:  文件1: 78.2003 文件2: 73.7756
在位置 7477 发现不同:  文件1: 12.2668 文件2: 14.441
在位置 7478 发现不同:  文件1: 155.997 文件2: 51.8243
在位置 7479 发现不同:  文件1: 166.989 文件2: 28.8041
在位置 7560 发现不同:  文件1: 87.5843 文件2: 81.9562
在位置 7561 发现不同:  文件1: 17.37 文件2: 15.2729
在位置 7562 发现不同:  文件1: 30.8907 文件2: 47.6835
在位置 7563 发现不同:  文件1: 46.5558 文件2: 30.3453
在位置 7644 发现不同:  文件1: 94.0818 文件2: 91.3575
在位置 7645 发现不同:  文件1: 8.94289 文件2: 13.9862
在位置 7646 发现不同:  文件1: 167.64 文件2: 38.5034
在位置 7647 发现不同:  文件1: 158.546 文件2: 28.0211
在位置 7728 发现不同:  文件1: 97.9215 文件2: 102.775
在位置 7729 发现不同:  文件1: 9.87395 文件2: 11.0082
在位置 7730 发现不同:  文件1: 69.9609 文件2: 17.9275
在位置 7731 发现不同:  文件1: 27.8969 文件2: 21.5383
在位置 7812 发现不同:  文件1: 109.43 文件2: 110.018
在位置 7813 发现不同:  文件1: 6.52023 文件2: 9.70204
在位置 7814 发现不同:  文件1: 149.539 文件2: 26.6883
在位置 7815 发现不同:  文件1: 173.287 文件2: 18.0873
在位置 7896 发现不同:  文件1: 118.337 文件2: 118.028
在位置 7897 发现不同:  文件1: 11.2484 文件2: 10.0112
在位置 7898 发现不同:  文件1: 18.9265 文件2: 20.9026
在位置 7899 发现不同:  文件1: 87.5074 文件2: 15.6602
在位置 7980 发现不同:  文件1: 123.511 文件2: 124.393
在位置 7981 发现不同:  文件1: 9.6212 文件2: 10.4972
在位置 7982 发现不同:  文件1: 142.956 文件2: 27.2128
在位置 7983 发现不同:  文件1: 151.42 文件2: 18.1847
在位置 8064 发现不同:  文件1: 133.137 文件2: 135.686
在位置 8065 发现不同:  文件1: 8.76583 文件2: 12.9155
在位置 8066 发现不同:  文件1: 106.859 文件2: 54.8735
在位置 8067 发现不同:  文件1: 17.3963 文件2: 19.7164
在位置 8148 发现不同:  文件1: 136.829 文件2: 135.929
在位置 8149 发现不同:  文件1: 19.7854 文件2: 14.8572
在位置 8150 发现不同:  文件1: 157.847 文件2: 58.0351
在位置 8151 发现不同:  文件1: 141.492 文件2: 21.9633
在位置 8232 发现不同:  文件1: 145.147 文件2: 143.605
在位置 8233 发现不同:  文件1: 7.16817 文件2: 15.0926
在位置 8234 发现不同:  文件1: 17.9775 文件2: 63.8949
在位置 8235 发现不同:  文件1: 64.4993 文件2: 27.5592
在位置 8316 发现不同:  文件1: 156.921 文件2: 163.486
在位置 8317 发现不同:  文件1: 13.2675 文件2: 14.1488
在位置 8318 发现不同:  文件1: 165.208 文件2: 32.3763
在位置 8319 发现不同:  文件1: 149.233 文件2: 27.7918
